frame_nr;sampler_time;layer_id;layer_size;encoding_time;encoded_size;send_timestamp;full_size
615;2;1;437595;9;83078;1696323344020;0
615;2;2;262575;6;52899;1696323344020;0
620;2;0;1050285;19;179328;1696323344207;0
620;2;1;437625;9;82593;1696323344207;0
620;2;2;262590;4;52972;1696323344207;0
625;4;0;1010340;17;167105;1696323344367;0
625;4;1;420975;7;77097;1696323344367;0
625;4;2;252615;6;49184;1696323344367;0
630;9;0;975525;15;157179;1696323344537;0
630;9;1;406470;10;72829;1696323344537;0
630;9;2;243915;6;46496;1696323344537;0
635;17;0;959505;14;158125;1696323344659;0
635;17;1;399795;5;73349;1696323344659;0
635;17;2;239910;6;46827;1696323344659;0
640;5;0;964425;15;159503;1696323344758;0
640;5;1;401850;6;74053;1696323344758;0
640;5;2;241140;3;47199;1696323344758;0
645;3;0;967545;17;161125;1696323344868;0
645;3;1;403140;6;73589;1696323344868;0
645;3;2;241920;3;46783;1696323344868;0
650;20;0;951735;14;156543;1696323344991;0
650;20;1;396555;6;72131;1696323344991;0
650;20;2;237975;4;46138;1696323344991;0
655;5;0;943065;12;155220;1696323345092;0
655;5;1;392940;5;71647;1696323345092;0
655;5;2;235800;4;45630;1696323345092;0
660;16;0;939165;14;155779;1696323345191;0
660;16;1;391320;5;71945;1696323345191;0
660;16;2;234825;3;45983;1696323345191;0
665;4;0;935715;13;154354;1696323345294;0
665;4;1;389880;7;71025;1696323345294;0
665;4;2;233955;3;45147;1696323345294;0
670;3;0;944955;15;157371;1696323345407;0
670;3;1;393735;7;72601;1696323345407;0
670;3;2;236265;5;46266;1696323345407;0
675;7;0;968700;13;157629;1696323345515;0
675;7;1;403620;7;72950;1696323345515;0
675;7;2;242205;4;46363;1696323345515;0
680;5;0;953580;13;153316;1696323345634;0
680;5;1;397320;5;71264;1696323345634;0
680;5;2;238425;5;45279;1696323345634;0
685;5;0;951030;12;153017;1696323345771;0
685;5;1;396270;4;70768;1696323345771;0
685;5;2;237795;5;44938;1696323345771;0
690;3;0;948315;14;152351;1696323345871;0
690;3;1;395130;5;70027;1696323345871;0
690;3;2;237105;5;45151;1696323345871;0
695;4;0;959670;14;154385;1696323345992;0
695;4;1;399870;7;71583;1696323345992;0
695;4;2;239955;5;45580;1696323345992;0
700;7;0;954495;14;153207;1696323346127;0
700;7;1;397710;5;71483;1696323346127;0
700;7;2;238665;3;45080;1696323346127;0
705;5;0;990585;12;160187;1696323346233;0
705;5;1;412740;6;74374;1696323346233;0
705;5;2;247680;3;46610;1696323346233;0
710;11;0;1000800;12;162750;1696323346349;0
710;11;1;417000;5;75286;1696323346349;0
710;11;2;250245;5;48228;1696323346349;0
715;7;0;1008885;12;162156;1696323346456;0
715;7;1;420375;6;75803;1696323346456;0
715;7;2;252240;3;48171;1696323346456;0
720;12;0;1024890;14;166662;1696323346568;0
720;12;1;427035;7;76912;1696323346568;0
720;12;2;256260;4;48732;1696323346568;0
725;11;0;1016940;14;165895;1696323346681;0
725;11;1;423735;5;76689;1696323346681;0
725;11;2;254265;3;49118;1696323346681;0
730;25;0;1014645;16;166281;1696323346790;0
730;25;1;422775;6;76907;1696323346790;0
730;25;2;253695;3;48903;1696323346790;0
735;4;0;1014150;13;165504;1696323346899;0
735;4;1;422565;5;77230;1696323346899;0
735;4;2;253575;5;48860;1696323346899;0
740;6;0;1042170;13;174132;1696323347006;0
740;6;1;434235;5;80501;1696323347006;0
740;6;2;260580;5;51137;1696323347006;0
745;5;0;1049715;13;173167;1696323347116;0
745;5;1;437385;5;80035;1696323347116;0
745;5;2;262470;4;50803;1696323347116;0
750;11;0;1054245;15;173150;1696323347225;0
750;11;1;439275;8;79592;1696323347225;0
750;11;2;263580;5;50694;1696323347225;0
755;11;0;1032750;14;165726;1696323347334;0
755;11;1;430320;8;76756;1696323347334;0
755;11;2;258225;5;48953;1696323347334;0
760;23;0;975270;11;154853;1696323347454;0
760;23;1;406365;6;71325;1696323347454;0
760;23;2;243855;2;45728;1696323347454;0
765;20;0;958590;12;153026;1696323347578;0
765;20;1;399420;4;71099;1696323347578;0
765;20;2;239685;4;45102;1696323347578;0
770;4;0;960690;10;153218;1696323347695;0
770;4;1;400290;4;71935;1696323347695;0
770;4;2;240195;4;44917;1696323347695;0
775;3;0;951360;11;152229;1696323347797;0
775;3;1;396405;5;70028;1696323347797;0
775;3;2;237870;2;44689;1696323347797;0
780;4;0;944520;11;152993;1696323347897;0
780;4;1;393555;6;71266;1696323347897;0
780;4;2;236160;2;45280;1696323347897;0
785;4;0;950955;21;154576;1696323348025;0
785;4;1;396240;7;71429;1696323348025;0
785;4;2;237765;4;45324;1696323348025;0
790;5;0;952140;14;156745;1696323348151;0
790;5;1;396720;5;72061;1696323348151;0
790;5;2;238065;6;46084;1696323348151;0
795;2;0;953415;12;153021;1696323348256;0
795;2;1;397260;5;70235;1696323348256;0
795;2;2;238395;5;45120;1696323348256;0
800;4;0;968490;12;154709;1696323348356;0
800;4;1;403545;4;71278;1696323348356;0
800;4;2;242145;5;46069;1696323348356;0
805;5;0;947025;12;158373;1696323348456;0
805;5;1;394605;4;73100;1696323348456;0
805;5;2;236790;4;46519;1696323348456;0
810;7;0;949785;13;159361;1696323348561;0
810;7;1;395745;6;73691;1696323348561;0
810;7;2;237480;2;47067;1696323348561;0
815;2;0;953625;11;160277;1696323348660;0
815;2;1;397350;4;73730;1696323348660;0
815;2;2;238425;4;46947;1696323348660;0
820;3;0;959175;13;158745;1696323348820;0
820;3;1;399660;7;73572;1696323348820;0
820;3;2;239820;3;46835;1696323348820;0
825;2;0;990105;14;162462;1696323348921;0
825;2;1;412545;5;75207;1696323348921;0
825;2;2;247560;2;47747;1696323348921;0
830;3;0;1005435;15;168295;1696323349018;0
830;3;1;418935;8;77948;1696323349018;0
830;3;2;251385;5;49291;1696323349018;0
835;6;0;1052730;14;176775;1696323349154;0
835;6;1;438645;5;81798;1696323349154;0
835;6;2;263205;5;52060;1696323349154;0
840;6;0;1146180;14;193876;1696323349286;0
840;6;1;477570;5;88975;1696323349286;0
840;6;2;286575;5;57160;1696323349286;0
845;7;0;1120815;15;193239;1696323349403;0
845;7;1;467010;6;89233;1696323349403;0
845;7;2;280230;3;57320;1696323349403;0
850;3;0;1114935;14;193465;1696323349504;0
850;3;1;464565;5;89232;1696323349504;0
850;3;2;278760;5;56363;1696323349504;0
855;5;0;1117815;21;194534;1696323349646;0
855;5;1;465765;8;89739;1696323349646;0
855;5;2;279480;3;57162;1696323349646;0
860;6;0;1126515;14;195173;1696323349793;0
860;6;1;469380;5;90309;1696323349793;0
860;6;2;281655;5;57478;1696323349793;0
865;7;0;1124625;14;195764;1696323349908;0
865;7;1;468600;6;90015;1696323349908;0
865;7;2;281190;5;57332;1696323349908;0
870;5;0;1119480;13;192328;1696323350021;0
870;5;1;466455;6;88958;1696323350021;0
870;5;2;279900;3;56355;1696323350021;0
875;6;0;1137435;15;190525;1696323350141;0
875;6;1;473940;7;88040;1696323350141;0
875;6;2;284385;3;55421;1696323350141;0
880;6;0;1141005;13;180864;1696323350255;0
880;6;1;475425;6;83453;1696323350255;0
880;6;2;285270;3;53647;1696323350255;0
885;6;0;1147095;15;170326;1696323350357;0
885;6;1;477960;7;79702;1696323350357;0
885;6;2;286800;6;50415;1696323350357;0
890;6;0;1155225;18;173867;1696323350477;0
890;6;1;481350;7;80677;1696323350477;0
890;6;2;288840;5;51743;1696323350477;0
895;6;0;1019790;12;137608;1696323350591;0
895;6;1;424920;4;64424;1696323350591;0
895;6;2;254970;5;41539;1696323350591;0
900;3;0;951765;12;155547;1696323350690;0
900;3;1;396570;6;72433;1696323350690;0
900;3;2;237975;2;45771;1696323350690;0
905;4;0;965295;12;161965;1696323350804;0
905;4;1;402210;4;73888;1696323350804;0
905;4;2;241350;5;47465;1696323350804;0
910;5;0;976410;11;162696;1696323350902;0
910;5;1;406845;6;75759;1696323350902;0
910;5;2;244140;2;47950;1696323350902;0
915;4;0;974790;11;162348;1696323350996;0
915;4;1;406170;4;75089;1696323350996;0
915;4;2;243735;4;48249;1696323350996;0
920;4;0;976485;12;163112;1696323351094;0
920;4;1;406875;4;74780;1696323351094;0
920;4;2;244140;2;47771;1696323351094;0
925;2;0;969435;11;161366;1696323351191;0
925;2;1;403935;4;74527;1696323351191;0
925;2;2;242385;5;47891;1696323351191;0
930;4;0;964710;10;156928;1696323351283;0
930;4;1;401970;4;72792;1696323351283;0
930;4;2;241200;4;46754;1696323351283;0
935;7;0;961110;14;156878;1696323351385;0
935;7;1;400470;5;72055;1696323351385;0
935;7;2;240300;3;46154;1696323351385;0
940;6;0;959430;12;156252;1696323351480;0
940;6;1;399765;4;72408;1696323351480;0
940;6;2;239880;5;46027;1696323351480;0
945;2;0;960660;12;155351;1696323351577;0
945;2;1;400275;6;71908;1696323351577;0
945;2;2;240210;2;45695;1696323351577;0
950;2;0;965280;14;157087;1696323351678;0
950;2;1;402195;8;72894;1696323351678;0
950;2;2;241350;3;45822;1696323351678;0
955;5;0;963315;17;156192;1696323351780;0
955;5;1;401385;7;72378;1696323351780;0
955;5;2;240855;5;46067;1696323351780;0
960;2;0;965655;14;158241;1696323351877;0
960;2;1;402360;8;73050;1696323351877;0
960;2;2;241455;3;46217;1696323351877;0
965;2;0;963285;14;155835;1696323351976;0
965;2;1;401370;8;72290;1696323351976;0
965;2;2;240855;4;45773;1696323351976;0
970;2;0;964260;13;156055;1696323352072;0
970;2;1;401775;5;72226;1696323352072;0
970;2;2;241110;4;45820;1696323352072;0
975;1;0;959760;12;156242;1696323352167;0
975;1;1;399900;7;71764;1696323352167;0
975;1;2;239970;4;45701;1696323352167;0
980;3;0;961605;13;155555;1696323352266;0
980;3;1;400665;4;72408;1696323352266;0
980;3;2;240435;2;45967;1696323352266;0
985;2;0;965700;14;157120;1696323352364;0
985;2;1;402375;5;72902;1696323352364;0
985;2;2;241455;4;46358;1696323352364;0
990;2;0;963720;16;157104;1696323352461;0
990;2;1;401550;8;72472;1696323352461;0
990;2;2;240960;5;46475;1696323352461;0
995;2;0;965325;12;158408;1696323352555;0
995;2;1;402225;4;72824;1696323352555;0
995;2;2;241365;5;46597;1696323352555;0
1000;2;0;962160;12;160067;1696323352695;0
1000;2;1;400905;6;73970;1696323352695;0
1000;2;2;240570;3;47216;1696323352695;0
1005;1;0;964605;14;161786;1696323352789;0
1005;1;1;401925;5;74705;1696323352789;0
1005;1;2;241185;2;47789;1696323352789;0
1010;3;0;961005;11;160092;1696323352883;0
1010;3;1;400425;4;74116;1696323352883;0
1010;3;2;240270;4;47436;1696323352883;0
1015;2;0;961050;11;161549;1696323352982;0
1015;2;1;400440;4;74198;1696323352982;0
1015;2;2;240285;4;47492;1696323352982;0
1020;2;0;965505;12;162391;1696323353079;0
1020;2;1;402300;4;74889;1696323353079;0
1020;2;2;241410;2;47913;1696323353079;0
1025;2;0;962850;11;160434;1696323353174;0
1025;2;1;401190;4;74284;1696323353174;0
1025;2;2;240735;5;47158;1696323353174;0
1030;1;0;962130;12;154592;1696323353273;0
1030;1;1;400890;6;72144;1696323353273;0
1030;1;2;240570;4;45640;1696323353273;0
1035;1;0;960705;15;152084;1696323353376;0
1035;1;1;400305;8;69878;1696323353376;0
